,0,1,2,3,4,5,6,7,8,9,10,11
0,#,School Code,School Name,Block Name,Local Body Type,Parliamentary Name,Assembly Name,Finance Type,Level Name,School Phone,School Wiki,Location
1,1058 Matches Found For the Search! ( Keywords: Revenue District : Thiruvananthapuram),,,,,,,,,,,
2,1,HS:1096, Loyola School Sreekaryam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Unaided Recognised,  1 - 12,04712598585 ,  ,Not Available
3,2,HS:42001, S N V H S S Anad ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 - 12,04722812280 ,  ,Location map
4,3,HS:42002, P H M K M V H S S Panavoor ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  8 - 12,04722865126 ,  ,Location map
5,4,HS:42003, Govt. H S S Aruvikkara ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  5 - 12,2888233 ,  ,Location map
6,5,HS:42004, Govt. T H S Meenankal ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 -10,04722892094 ,  ,Location map
7,6,HS:42005, Govt. V & H S S Aryanad ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  5 - 12,04722852255 ,  ,Location map
8,7,HS:42006, Govt. Model HSS For Boys Attingal ,,Attingal(M),"Attingal *
",Attingal,Government,  6-12,04702622283 ,  ,Location map
9,8,HS:42007, Govt V H S S Alamcode ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  5 - 12,04702620270 ,  ,Location map
10,9,HS:42008, Govt H S S For Girls Attingal ,,Attingal(M),"Attingal *
",Attingal,Government,  6-12,04702622597 ,  ,Location map
11,10,HS:42010, Navabharath E M H S S Attingal ,,Attingal(M),"Attingal *
",Attingal,Unaided Recognised,  1 - 12,04702623877 ,  ,Not Available
12,11,HS:42011, Govt. H S S Elampa ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  5 - 12,04702639006 ,  ,Location map
