school name,principal name,Phone Number,Email Address
A A PUBLIC SCHOOL,MRS. S.GNANA JOTHI,",04448595902",aapublicschool@gmail.com
A J C ENGLISH SCHOOL,ANANDHAVALLI K,"0435,2420730",anandhiphysics@gmail.com
A K R G TECHNO SCHOOL,GUTTA PADMAJA,"818,277993",akrgschool@gmail.com
A M PUBLIC SCHOOL,MRS. THAMAYANTHI S,"4290,04290243578",ampublicschool12@gmail.com
A   NATIONAL SCHOOL,MRS T GOMATHI SINGH,"04639,223344",
A.C. SHETTY MEMORIAL PRIMARY SCHOOL,B. Mahabaleshwara Udupa,"08284,08259-285269,08259-285369",nkmahajanca@yahoo.co.in
A.K.T. MEMORIAL VIDYA SAAKET SCHOOL,S USHA KUMARI,"4151,226655",principal.aktcbse@gmail.com
A.R.J.  PUBLIC SCHOOL,KAVITHA S,"4367,223333",arjps@arj.edu.in
AAA INTERNATIONAL SCHOOL,MRS. A V BHUVANESWARI,"0456,2228885",principalaaaittl@gmail.com
AATHMALAYAA MIDDLE SCHOOL,MRS. LAYAVARJITHA S,"4368,04368292002,",principal@aathmalayaa.in
ABACUS INTERNATIONAL MONTESSORI SCHOOL,JOSEPHINE MARIA PREMA,"0421,3212321",principal@aimstirupur.com
ABCS KENBRIDGE SCHOOL,RAVICHANDRAN S,"4567,259364",kenbridgeprincipal@gmail.com
ABHAYA SCHOOL,L.SHAILAJA,"01734,08008222356",abhaya_school@yahoo.co.in
ABHYAS THE GLOBAL SCHOOL,Mrs.I.Naga Mani,"8816,223445",syjdora@gmail.com
ABS VIDHYA MANDHIR,RATHI MENON,"0,9244940111",absvm.rathi@gmail.com
ACADEMIC HEIGHTS PUBLIC SCHOOL,MRS. NAJMAUNISA BEGUM,"040,04064546403,",ahpscharminar@yahoo.com
ACADEMIC HEIGHTS PUBLIC SCHOOL,SINITA YEMPATI,"040,7093903311",ahpsboduppalprincipal@gmail.com
ACADEMIC HEIGHTS PUBLIC SCHOOL,MRS. J.LAKSHMI RAGHAVENDRA,",9618380022",academicheightsbeeramguda@gmail.com
ACADEMIC HEIGHTS PUBLIC SCHOOL,MRS. K MADHAVI KRISHNA,",9000103540",academicheightskphb@gmail.com
ACADEMIC HEIGHTS PUBLIC SCHOOL,MRS. YERRA JHANSI LATHA,",9121019898",principalinj@academicheightshyd.com
ACADEMIC HEIGHTS SCHOOL,RUPA REDDY,"8685,243693",ahps.principal@gmail.com
ACCORD SCHOOL,M Liaqet Ali Khan,"0877,6457775",info@theaccordschool.com
ACHARIYA BALA SIKSHA MANDIR,DR R ANITA SANTHAKUMAR,"0413,3293344",absmtt@achariya.org
ACHARIYA SCHOOL,SUDALAIMUTHU,"4632,248689",sudalaimuthu1981@gmail.com
ACHARIYA SIKSHA MANDIR,MR.MOHAMED FAROOK U.,"0413,04132660881",asmhead@achariya.org
