school name,email,contact no
"Aspee Nutan Academy, Malad West, Mumbai",info@aspeenutanacademy.org, 022 28020313/ 022 28079933
Chaman Bhartiya School Bengaluru,info@chamanbhartiya.com, +918067423399
Seth MR Jaipuria School Lucknow,principal@jaipuria.com, 91 522 272 6500
"JBCN International School, Chembur",info.cbr@jbcnschool.edu.in, 91 8657976711
"JBCN International School, Borivali",info.bor@jbcnschool.edu.in, 91 22 28927089 / 9930002242
"JBCN International School, Oshiwara",info.osh@jbcnschool.edu.in, 91 22 26302441/9819098768
"The Hyderabad Public School, Kadapa",hyderabadpublicschoolkdp@gmail.com, 91 9505817480
"Shri Ram Global School, Greater Noida (West)",info@srgsnoida.com, 91 9319290071
"Mukarram Jah School, Hyderabad",info.mukarramjahtrust@gmail.com, 91 40 2456 4494
"The Hyderabad Public School, Begumpet",contactus@hpsbegumpet.org.in, +91 9154201768
St Michael’s School Siliguri,deputydirector1972@gmail.com, 91 3532548358/ 91 94340 69253
"Welham Girls’ School, Dehradun",mainschool@welhamgirls.com, 91-135-2657223
"Alpha Plus Matriculation School, Trichy",info.matric@alphaeducation.edu.in, +914312457308
"Legacy School, Bengaluru",info@lsb.edu.in, +91 8028443570
"Universal High School, Thane",info.thane@universal.edu.in, +91 2225890151
"St. Thomas School, Ranchi, Bihar",principal@stthomasschoolranchi.com, +91 6512408649
"Children’s Academy, Malad, Mumbai",contacmalad@children-academy.org, +91 2228835014
"St. Mary’s Convent High School, Kanpur",contact@smccjkanpur.org, +91 5122381010
St. Joseph’s Girls High School Cuttack,st.josephscuttack@yahoo.co.in, +916712301307
"St. Anne’s High School, Pune",annes1860@gmail.com, +91b2026340840
"St. Anne’s Girls High School, Kalbadevi, Mumbai",info@stannesdabul.org, +91 22 22050504
"Convent Girls High School, Prabhadevi, Mumbai",info@fyhic-cghs.com, +91 2224379467
"Bai Avabai F Petit (BAFP) Girls’ High School, Mumbai",bafpetit@yahoo.co.in, +91 2226483018
"NASR Girls’ School, Khairatabad, Hyderabad",nasrschool@sify.com, +91 4023307555
"Hopetown Girls’ School, Dehradun",schooloffice@hopetown.in, +91 1353981426
"St. Edmund’s School, Laitumkhrah, Shillong",saintedmunds@gmail.com, +91 3642222307
"St. Vincent’s School, Pune",stvincentsschool@yahoo.co.in, +91 2026352135
"St. Francis’ College, Lucknow",contact@stfrancislucknow.org, +91 5222623712
"St. Joseph’s Boys School, Jalandhar",stjosephboysjal@gmail.com, +91 1812226782
"Calcutta Boys’ School, Kolkata",calcuttaboysschool@gmail.com, +91 3322651531
"St. Xavier’s Collegiate School, Kolkata",principal@sxcs.edu.in, +91 3322551171
"St. Paul’s School, Darjeeling",info@stpaulsdarjeeling.com, +91 3542252334
"Anubhuti School, Jalgaon",info@anubhutischool.in, +91 9422776726
"St. Francis School, Vadakkenchery, Palakkad",wilsvtor@gmail.com, +91 4922259860
"Jiva Public School, Faridabad",monika@jiva.com, +91 1294294802
"Panchajanya Brilliants High School, Hindupur",, +91 8556220646
"The Bishop’s School, Pune",, 02026330260
"St. Mary’s School, Mazgaon, Mumbai",info@stmarysicse.com, 02223778264
"St. Xavier’s High School, Fort, Mumbai",xaviersfort@mtnl.net.in, 91 22 22621113
"Scholars’ Home, Lucknow",admin@scholars-home.com, +91 5224000044
"Trio World Academy, Bangalore",admissions@trioworldacademy.com, +91 8040611222
"Billabong High International School, Andheri",info@bhisandheri.com / admissions@bhisandheri.com, +91 22 26300033 / +91 9953982323
"Symbiosis International School, Pune",sis@symbiosis.ac.in, +91 26634479
"Mount Litera School, BKC, Mumbai",admission@mlsi.in, +91 9930441459
"Primus Public School, Bangalore",admission@primusschool.com, +91 9513488609
"Hill Spring International School, Mumbai",info@hsieducation.org, +91-22-2355 6201
Ahmedabad International School,ais@aischool.net, +91 79 26871623
"DPS International School, Saket, New Delhi",admissions@dpsiedge.edu.in, +91 8377000164
"RBK International Academy, Chembur, Mumbai",info@rbkia.org, 74000 91646
"Ascend International School, Mumbai",admin@ascendinternational.org, +91 22 7122 2000
"Choithram International, Indore",principal@choithraminternational.org, +91 7312360345
"Calcutta International School, Kolkata",admission@calcuttais.edu.in, +91 98366-52141
"Calorx Olive International School, Ahmedabad",info@cois.edu.in, +91 9099933804
"SVKM JV Parekh International School, Mumbai",svkminternational@gmail.com, 91 22 42333030
"Mahatma Gandhi International School, Ahmedabad",info@mgis.in, +91 7926463888
