school name,email,contact no
"Shiksha Valley School, Dibrugarh, Assam",enquiry@shikshavalleyschool.org," +9107575990011, +9107575990022"
"Suchitra Academy, Qutubullapur Mandal, Hyderabad",info@suchitra.in, 91773 99900
"SSVM School of Excellence, Coimbatore",info@ssvmse.com, 91 9364511111
"SSVM World School, Coimbatore",info@ssvmws.com, 91 9344451888
"Reeds World School, Coimbatore",info@reedsws.com, 91 9344505000
Shree Sarasswathi Vidhyaah Mandheer School Mettupalayam,info@ssvminstitutions.in, 91 93644 54884
"Nirmal Bhartia School, Dwarka, New Delhi",nibsadmin@nirmalbhartia.org, 011-45609702-06
"Gurukul The School, Ghaziabad",info@gurukultheschool.com, 91 92052 72096
"Indo Scottish Global School, Thane",info@indoscottishthane.com, 91222542555 / 919867507555
"Delhi World Public School, Nerul, Navi Mumbai",info@dwpsnerul.com, +919082290746
"ODM Public School, Bhubaneswar",admission@odmegroup.org, 1800-120-2316
"Seedling Modern Public School, Udaipur",info@seedlingudaipur.org, +91 9672290022
"The Study, Udaipur",thestudyudr@gmail.com, +91 2942453569
"St. Antony’s Public School, Kottayam",office@saps.ac.in, +91 4828202669
"Saupin’s School, Chandigarh",saupinsc@gmail.com, +91 1722664732
"Mother’s Global School, Preet Vihar, Delhi",info@mothersglobal.in, +91 1122501900
"Mother Mary’s School, Delhi",contact@mothermarysschoolmayurvihar.com, +91 1122715538
St. Joseph’s Convent School Bhopal,07552541266, +91 7552541266
"Ashok Hall Girls Higher Secondary School, Kolkata",ahghss@ashokhall.net, +91 3322871271
"Uttam School for Girls, Ghaziabad",uttamschool@gmail.com, +91 1202753444
"Sushila Birla Girls’ School, Kolkata",principal@sbgskolkata.ac.in, +91 3322879006
"St. Thomas School, Delhi",stsschool@gmail.com, +91 1123364094
"Rajmata Krishna Kumari Girls’ Public School, Jodhpur",school@rkkgps.com, +91 2912511461
"Shah Satnam Ji Girls’ School, Sirsa",ssgs1994@gmail.com, +91 1666238620
"Vantage Hall Girls’ Residential School, Dehradun",admissions@vantagehall.org, +91 8191912999
"St. Edward’s School, Milsington, Shimla",contact@stedwardsshimla.org, +91 1772624542
St. John’s International Residential School,admission@sjirsindia.com, +91 4426810511
"BRCM Public School, Vidyagram, Bahal",principalschool@brcm.edu.in, +91 1255265101
"The Horizon School, Kozhikode",counsellor@horizonschool.in, +91 4832831188
"Army Public School (APS), Meerut",apsmeerut559@gmail.com, +91 1212970133
"Model Academy, Jammu",principal@modelacademy.in, +91 1912546078
"St. John’s High School, Chandigarh",info@stjohnschandigarh.com, 91 1722792678
"Ryan International School, Sanpada, Navi Mumbai",admissions.rissanpada@ryangroup.org, +91 2265107486
