school name,email,contact no
"Aspee Nutan Academy, Malad West, Mumbai",info@aspeenutanacademy.org, 022 28020313/ 022 28079933
"The Hyderabad Public School, Kadapa",hyderabadpublicschoolkdp@gmail.com, 91 9505817480
"Mukarram Jah School, Hyderabad",info.mukarramjahtrust@gmail.com, 91 40 2456 4494
"The Hyderabad Public School, Begumpet",contactus@hpsbegumpet.org.in, +91 9154201768
"Welham Girls’ School, Dehradun",mainschool@welhamgirls.com, 91-135-2657223
St. Joseph’s Girls High School Cuttack,st.josephscuttack@yahoo.co.in, +916712301307
"Bai Avabai F Petit (BAFP) Girls’ High School, Mumbai",bafpetit@yahoo.co.in, +91 2226483018
"Calcutta Boys’ School, Kolkata",calcuttaboysschool@gmail.com, +91 3322651531
"St. Xavier’s Collegiate School, Kolkata",principal@sxcs.edu.in, +91 3322551171
"St. Paul’s School, Darjeeling",info@stpaulsdarjeeling.com, +91 3542252334
"St. Mary’s School, Mazgaon, Mumbai",info@stmarysicse.com, 02223778264
"Narbheram Hansraj English School, Jamshedpur",principal@nhes.ac.in, 6572249796
"South City International School, Kolkata",info@scis.co.in, 9.10E+12
"Euro School, Airoli, Navi Mumbai",airoli@euroschoolindia.com, 9.19E+11
"Gokuldham High School & Jr College, Goregaon",gokuldhamschool@gaet.edu.in, 7.19E+11
"Pawar Public School, Bhandup, Mumbai",feedback@ppsbhandup.com, 2221663030
"Lilavatibai Podar High School, Santacruz, Mumbai",fernandesnorina.icse@podar.org, 67111111
"Auxilium Convent School, Bandel, Kolkata",, 3326312460
"Loreto Convent Intermediate College, Lucknow",contact@lucknowloreto.com, 5222237222
"The Aryan School, Dehradun",aryan@thearyanschool.com, 919837623510
"De Paul International Residential School, Mysore",aneeshdpirs@gmail.com, 91 8212972401
"Father LeBlond School, Siliguri",enquiry@leblond.in, 9.18E+11
"BGIS, Vrindavan",info@bgis.org, 5652540206
"Auckland House School, Shimla",auck65@gmail.com, 1772807060
Walsingham House School,admin@walsinghamschool.org, 2223625191
"Mercy Memorial School, Kanpur",, 5122611781
"St. Xaviers School, Dhamtari",, 7722235280
"St. Xavier’s High School, Durg",sxhsicsedurg@gmail.com, 7886450577
"Universal High School, Dahisar East, Mumbai",info.dahisar@universal.edu.in, 2228977293
Swaraj India Public School,, 5122500309
PG Garodia School,school@pggarodia.org, 2225063157
"Ryan International School, Nerul, Mumbai",ryannerul10@gmail.com, 2227719687
"Cambridge School, Kandivali (East), Mumbai",cambridgeschkandivli@gmail.com, 2228541864
"Vibgyor High School, Hadapsar, Pune",helpdesk.vh10207@vibgyorhigh.com, 2069000500
"Ashoka Universal School, Nashik",principal@ausindia.org, 9922992293
"Presidency School, Nandini Layout",principal.nlo@gmail.com, 8023493291
J H Tarapore School,jhts@sify.com, 6572220420
DBMS English School,, 6572305367
Niraj Public School,info@nirajpublicschool.com, 4023413543
"Podar International School, Navi Mumbai",admin.nerul@podar.org, 2227727742
"Somerville School, Noida",ssn@somervillenoida.in, 1202415050
"Future Kids, Hyderabad",futurekids@fkshyderabad.com, 4032519742
"Zydus School for Excellence, Vejalpur",zydusschool@hotmail.com, 7926826799
"Contai Public School, Purba, Medinipur",cps953@gmail.com, 3220258953
Bethany Special School,info@bethanyinstitutions.edu.in, 8025634902
Global Wings International School,globalwingsschool@gmail.com, 4023734015
Ramadevi Public School,, 4032946671
Arca Education Society,, 9989124092
"APM School, Hyderabad",apmschoolhyd@gmail.com, 4064537405
Bless Educational Society,, 8125332998
SaS Billabong High School,sas@mahim.billabong.org, 2224466547
Rockford Convent High School,rockfordconvent@yahoo.co.in, 1246453227
"The Banyan Tree World School, Gurgaon",info.btws@gmail.com, 1246675755
"SDA Senior Secondary School, Ghaziabad",sdaup030@yahoo.com, 1222305740
"Mount Carmel School, Ghaziabad",mountcarmelschoolmuradnagar@gmail.com, 1232226445
"Fatima Convent School, Ghaziabad",, 1202871847
"Vibgyor High School, Hennur",helpdesk.vh15301@vibgyorhigh.com, 8022723001
"Vibgyor High, Borivali West",helpdesk.vh10112@vibgyorhigh.com, 2265650593
"Konark Public School, Ghaziabad",contact@kpssahibabad.com, 1202892579
"Modern Academy, Ghaziabad",admin@modernacademyindirapuram.org, 1202606998
