school name,email,contact no
"Aspee Nutan Academy, Malad West, Mumbai",info@aspeenutanacademy.org, 022 28020313/ 022 28079933
Seth MR Jaipuria School Lucknow,principal@jaipuria.com, 91 522 272 6500
"JBCN International School, Chembur",info.cbr@jbcnschool.edu.in, 91 8657976711
"JBCN International School, Borivali",info.bor@jbcnschool.edu.in, 91 22 28927089 / 9930002242
"The Hyderabad Public School, Kadapa",hyderabadpublicschoolkdp@gmail.com, 91 9505817480
"Welham Girls’ School, Dehradun",mainschool@welhamgirls.com, 91-135-2657223
"Alpha Plus Matriculation School, Trichy",info.matric@alphaeducation.edu.in,91 4312457308
St. Joseph’s Girls High School Cuttack,st.josephscuttack@yahoo.co.in,91 6712301307
"St. Anne’s High School, Pune",annes1860@gmail.com, +91b2026340840
"St. Anne’s Girls High School, Kalbadevi, Mumbai",info@stannesdabul.org, +91 22 22050504
"St. Edmund’s School, Laitumkhrah, Shillong",saintedmunds@gmail.com, +91 3642222307
"Jiva Public School, Faridabad",monika@jiva.com, +91 1294294802
"St. Mary’s School, Mazgaon, Mumbai",info@stmarysicse.com,2223778264
"Scholars’ Home, Lucknow",admin@scholars-home.com, +91 5224000044
"Trio World Academy, Bangalore",admissions@trioworldacademy.com, +91 8040611222
"Billabong High International School, Andheri",info@bhisandheri.com / admissions@bhisandheri.com, +91 22 26300033 / +91 9953982323
"Symbiosis International School, Pune",sis@symbiosis.ac.in, +91 26634479
"Mount Litera School, BKC, Mumbai",admission@mlsi.in, +91 9930441459
"Primus Public School, Bangalore",admission@primusschool.com, +91 9513488609
"Hill Spring International School, Mumbai",info@hsieducation.org, +91-22-2355 6201
Ahmedabad International School,ais@aischool.net, +91 79 26871623
"DPS International School, Saket, New Delhi",admissions@dpsiedge.edu.in, +91 8377000164
"RBK International Academy, Chembur, Mumbai",info@rbkia.org, 74000 91646
"Ascend International School, Mumbai",admin@ascendinternational.org, +91 22 7122 2000
"Choithram International, Indore",principal@choithraminternational.org, +91 7312360345
"Calcutta International School, Kolkata",admission@calcuttais.edu.in, +91 98366-52141
"Calorx Olive International School, Ahmedabad",info@cois.edu.in, +91 9099933804
"SVKM JV Parekh International School, Mumbai",svkminternational@gmail.com, 91 22 42333030
"Mahatma Gandhi International School, Ahmedabad",info@mgis.in, +91 7926463888
"Fazlani L’academie Globale, Mazgaon, Mumbai",info@flag.org.in, +91 2223732730
"Fazlani L’academie Globale, Mazgaon, Mumbai",info@flag.org.in, +91 2223732730
"BD Somani International School, Cuffe Parade, Mumbai",secondary@bdsomaniinternationalschool.com, +91 022 22161366
"Utpal Shanghvi Global School, Mumbai",rakhimukherjeeuss@gmail.com, +91 22 2620 4298
"Ryan Global School, Andheri, Mumbai",ryanglobal@in.com, +91 022-26320205
"Rustomjee Cambridge International School, Mumbai",tanya@school.rustomjee.com, 022 2894 2363
"Scottish High International School, Gurgaon",info@scottishigh.com, +91 9953849226
"NES International School, Mumbai",contact@nesism.in, +91 (22) 6641 5555
"Aditya Birla World Academy, Mumbai",admissions@adityabirlaworldacademy.com, +91-22-2352 8400
"Pathways school, Gurgaon",school.gurgaon@pathways.in,9.11E+11
"Mercedes-Benz International School, Pune",info@mbis.org,
"Pathways School, Noida",school.noida@pathways.in, +91 120 4617000
"Dhirubhai Ambani International School, Mumbai",admissions@da-is.org, 91 22 35637061
"Ecole Mondiale World School, Mumbai",enquiry@ecolemondiale.org, +91 26237196
International School of Hyderabad,ish@ishyd.org, +91 40 30713865
"The Riverside School, Ahmedabad",inquiry@schoolriverside.com, 079 22861321
"Oberoi International School, Mumbai",education@oberoi-is.org, + 91 22 4236 3131
"Candor International School, Bangalore",enquire@candorschool.com, +91 9483299999
Trivandrum International School,tis@trins.org, +91 99470 66646
"Indus International School, Hyderabad",admissions@indusschoolhyd.com,8417302100
"International School, Aamby, Pune",admissions@isaamby.com, +91 9922626852
"Lancers International School, Gurgaon",admission@lis.ac.in, +91 9999989757
"DRS International School, Hyderabad",info@drsinternational.com, +91 9246178555
"Aga Khan Academy, Hyderabad",admissions.hyderabad@agakhanacademies.org, +91 66291262
"Vidsan Charterhouse, Faridabad",registrations@vidyasanskar.com, +91 9999265555
Bangalore International School,info@bisedu.co.in, +91 95914 68876
"Saint MSG Glorious International School, Sirsa",info@saintmsginternationalschool.com, +91 (1666) 238626
"Singapore International School, Mumbai",admin@sisindia.net, +91 02228285200
"Fravashi International Academy, Nasik",enquiry@fia.edu.in, +91 9673999007
"Stonehill International School, Bangalore",admissions@stonehill.in, +91 8043418300
"Canadian International School, Bangalore",enroll@cisb.org.in, +91 806759 4444
"Stonehill International School, Bangalore",admissions@stonehill.in, +91 8043418300
"The Cathedral Vidya School, Lonavala",enquiry@cathedral-lonavala.org, +91 9923756950
"Good Shepherd International School, Ooty",info@gsis.ac.in, +91 423 2550371
"Hebron School, Ooty",principal@hebronooty.org, +91 4232442372
"Indus International School, Pune",admissions@indusschoolpune.com, +91 8390905894
"Indus International School, Bangalore",admissions@indusschool.com,9886268567
"Pathways World School, Gurgaon",school.gurgaon@pathways.in, 0124 487 2000
Kodaikanal International School,contact@kis.in, 454 2247218
"Greenwood High International, Bangalore",admissions.intl@greenwoodhigh.edu.in, +91 8022010500
"Kimberley The International School, Panchkula",info@kimberley.co.in, +91 8685000222
"Ryan International School, Bardoli, Surat",ris.bardoli@ryangroup.org,2622262639
"Nahar International School, Mumbai",info@nahar-is.org,2228475511
"Indus World School, Gurgaon",admissions.gurgaon@indusworldschool.com,9716974808
"Bodhi International School, Jodhpur",principal@bodhijodhpur.com, +91 8290752002
"Sankalp, Chennai",admin.sankalp@gmail.com,9.1994E+11
"Dare Academy, Munnar",dare.munnar@tatatea.co.in,4865231453
"Aatman Academy, Thane",info@aatmanacademy.org, +91 98696 87073
Test,a@a.com,28845454
"Sparsh Special School, New Delhi",info@thesparsh.org,1127044337
"NES High School, Bhandup, Mumbai",enquiry@nessvb.org,2225951381
"Mata Bhagwanti Chadha Niketan (MBCN), Noida",info@mbcnschool.in,9711000843
